,사용월,호선명,지하철역,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원,작업일자
51,202203,2호선,이대,29,2,2700,784,7354,6768,21403,10670,28567,32396,16913,28379,12827,21582,14632,17688,18382,19822,19528,23336,18965,19061,23113,18406,26665,20454,34716,24882,32199,34859,19500,26328,16055,15866,15448,16275,12069,16028,3584,12984,2,78,0,0,0,0,0,0,20220403
52,202203,2호선,잠실(송파구청),88,4,9298,3996,39821,27326,100950,59203,139131,129970,100759,100814,63901,74547,63344,75949,71107,81149,76488,87497,78937,83764,88019,90465,105765,102712,135913,136069,163546,185300,109111,121085,109889,74020,91374,67485,70389,64116,19218,40331,21,1572,0,0,0,0,0,0,20220403
53,202203,2호선,잠실나루,5,0,2567,1589,9244,9007,32799,19803,37800,32229,23211,19779,18408,14549,18595,12914,18217,15824,17071,17780,17801,15491,19807,15104,24134,16628,28988,21466,25553,33282,11913,24476,8256,14163,6181,13240,4681,12607,1827,7972,4,208,0,1,0,0,0,0,20220403
54,202203,2호선,잠실새내,18,0,3695,749,13826,9146,45982,15759,60299,24888,37451,26428,24521,20136,23209,21105,25973,24170,26320,27657,24356,27186,27506,32058,29680,34943,31444,48272,34849,69170,25372,48328,22154,26271,21756,22161,22372,21213,11148,13883,6,1048,0,0,0,0,0,0,20220403
55,202203,2호선,종합운동장,7,0,1276,886,4687,6170,13430,12688,18117,20950,13007,10376,9154,8567,8499,8030,10155,12268,11118,14087,11230,15835,13084,19148,15674,23431,15372,21972,16127,24274,9808,15118,15056,9517,25390,8619,16836,8457,1300,5006,6,471,0,1,0,0,0,0,20220403
56,202203,2호선,충정로(경기대입구),5,0,2798,975,5693,6243,13937,19491,19043,51080,11884,23000,8981,10979,9167,8793,9882,9105,10697,10422,11268,9967,12374,9705,14678,10524,22893,13327,41090,18399,12481,12743,7931,8275,6978,8057,5610,7309,2246,5731,5,177,0,0,0,1,0,0,20220403
57,202203,2호선,한양대,6,1,815,188,2082,4959,4237,10661,7066,64264,5151,58091,7328,50731,12624,16160,17746,35908,17931,25844,24963,20499,31913,11784,42795,9306,52730,13717,36335,16274,17038,7054,15637,4901,17120,4382,10549,4227,4003,3798,2,50,0,0,0,0,0,0,20220403
58,202203,2호선,합정,31,5,5947,2370,14994,12008,38062,27557,48643,81609,31012,70276,22804,37794,23418,39736,29078,42351,32389,47611,34294,44577,37240,44830,44340,51605,61142,64381,101054,91902,64910,59441,50320,29792,54034,24046,52771,21344,27411,16683,12,996,0,0,0,1,0,0,20220403
59,202203,2호선,홍대입구,326,7,9614,2844,18498,13165,50518,30554,64536,86673,42090,104395,30813,66134,37373,78907,49120,95077,56375,108177,61637,104502,74537,108479,95781,116689,121398,137726,147362,170383,116609,113688,112743,54541,133947,39101,145857,32871,76058,26888,231,3967,0,0,0,0,0,0,20220403
60,202203,3호선,가락시장,47,12,2461,426,6061,5213,16741,11235,18477,26074,12705,13661,10966,9547,11188,9390,11490,9622,11694,10258,11835,10443,12286,11565,13878,12756,17532,15078,24975,19237,10200,13890,7183,9508,6336,7619,4485,7071,1245,3743,10,1173,0,0,0,0,0,0,20220403
